fas_id,course_code,course_title,department,professor,semester,year,term,rating,rating_fas_mean,materials_rating,assignments_rating,feedback_rating,section_rating,instructor_rating,lectures_effective,instructor_accessible,generates_enthusiasm,facilitates_discussion,recommendation_rating,hours_per_week,num_students
000016,PHIL 16,"Sex, Love, and Friendship 001",PHIL,Schouten,2024Spring,2024,Spring,4.38,4.25,4.48,4.38,4.19,4.02,4.8,4.78,4.85,4.85,4.81,4.43,3.82,102
000031,PHIL 31,"Saints, Heretics, and Atheists: A Historical Introduction to the Philosophy of Religion 001",PHIL,McDonough,2024Spring,2024,Spring,4.75,4.25,4.85,4.53,4.11,5.0,4.94,4.94,4.89,4.94,4.75,4.79,4.26,32
000168,MUSIC 168,Analog Synthesizer and the Digital Age SEM,MUSIC,Tutschku,2024Spring,2024,Spring,4.83,4.25,4.5,4.83,4.67,4.0,4.83,4.5,4.67,5.0,5.0,4.67,4.67,10
000169,PHIL 169,Nozick's Philosophical Explanations 001,PHIL,Berker,2024Spring,2024,Spring,4.89,4.25,4.82,4.76,4.88,5.0,5.0,5.0,5.0,5.0,5.0,4.39,6.28,20
000172,MUSIC 172R,Performer-Composer Collaborative 001,MUSIC,Harris,2022Fall,2022,Fall,3.8,4.2,4.0,3.6,3.6,3.0,4.2,3.4,4.4,5.0,4.6,3.6,3.0,10
000176,PHIL 176G,Groups in Political Philosophy (Proseminar) 001,PHIL,Mora,2022Fall,2022,Fall,4.47,4.2,4.6,4.67,4.87,4.5,4.8,4.4,4.93,4.93,4.6,4.47,6.25,19
000177,MUSIC 177,Creative Music: Advanced Ensemble Workshop 001,MUSIC,Iyer,2023Spring,2023,Spring,5.0,4.22,5.0,5.0,5.0,4.91,5.0,5.0,5.0,5.0,5.0,5.0,4.36,23
000177,MUSIC 177R,Creative Music: Advanced Ensemble Workshop 001,MUSIC,Iyer,2024Spring,2024,Spring,4.55,4.25,4.67,4.57,3.9,4.7,4.63,4.8,4.43,4.63,4.5,4.73,5.45,20
000185,PHIL 185,Philosophy and Architecture 001,PHIL,Capdevila_Werning,2023Fall,2023,Fall,4.25,4.21,4.5,4.5,4.0,5.0,4.63,4.38,5.0,4.63,4.17,4.38,4.57,12
000185,PHIL 185,Philosophy and Architecture 001,PHIL,Capdevila_Werning,2024Fall,2024,Fall,4.18,4.24,4.36,4.18,3.45,3.0,4.09,4.27,4.64,4.36,4.45,3.82,5.36,15
